audit_id,note_id,auditor_mds_id,audited_at_utc,rubric_version,score_accuracy,score_completeness,score_formatting,score_terminology,score_hpi,score_ros,score_plan,composite_score,pass_fail
AU-10050,NT-000179,MD-213,2026-03-30 16:45:45,v1,0.9923,0.9465,0.9051,0.958,0.8967,0.9317,0.8434,0.9361,PASS
AU-10051,NT-000183,MD-201,2026-03-28 13:39:46,v1,0.903,0.9315,0.9773,0.9156,0.9393,0.9646,0.9367,0.9292,PASS
AU-10052,NT-000187,MD-214,2026-03-29 05:01:55,v1,0.8917,0.8657,0.7491,0.8551,0.923,0.8686,0.8599,0.8658,PASS
AU-10053,NT-000191,MD-213,2026-03-30 04:03:50,v1,0.9267,0.9272,1.0,0.7797,0.9754,0.9167,0.9012,0.92,PASS
AU-10054,NT-000196,MD-217,2026-03-28 15:10:20,v1,1.0,0.9644,0.982,0.8743,0.8514,0.8712,0.9149,0.9445,PASS
AU-10055,NT-000202,MD-223,2026-03-28 22:19:22,v1,1.0,0.903,1.0,0.9717,0.9486,1.0,0.9193,0.9605,PASS
AU-10056,NT-000203,MD-205,2026-03-30 13:26:49,v1,0.9802,0.7914,0.8697,0.8671,0.8716,0.9451,0.8502,0.8879,PASS
AU-10057,NT-000208,MD-208,2026-03-28 16:00:24,v1,0.8279,0.8583,0.7864,0.7993,0.9066,0.8642,0.8859,0.8454,FAIL
AU-10058,NT-000211,MD-216,2026-03-30 05:25:13,v1,0.9877,0.9164,0.861,1.0,0.9478,0.7835,0.9681,0.9449,PASS
AU-10059,NT-000214,MD-226,2026-03-31 02:03:44,v1,0.9388,0.8224,0.8453,0.8443,0.7652,0.9575,0.762,0.8538,PASS
AU-10060,NT-000215,MD-210,2026-03-29 10:29:07,v1,1.0,1.0,1.0,0.9204,1.0,1.0,0.9611,0.9862,PASS
AU-10061,NT-000218,MD-215,2026-03-29 09:01:44,v1,1.0,1.0,1.0,0.945,1.0,0.9369,1.0,0.9913,PASS
AU-10062,NT-000219,MD-230,2026-03-31 05:27:23,v1,0.8517,0.9733,0.992,0.9397,0.9575,0.9795,0.9581,0.9318,PASS
AU-10063,NT-000221,MD-206,2026-03-29 10:12:42,v1,0.8383,0.8696,0.8208,0.8852,0.7883,0.8434,0.8338,0.8421,FAIL
AU-10064,NT-000225,MD-218,2026-03-28 04:43:50,v1,0.8574,0.7842,0.7766,0.8492,0.8409,0.8451,0.8315,0.8277,FAIL
AU-10065,NT-000229,MD-217,2026-03-28 20:06:54,v1,0.8782,0.8783,0.865,0.8523,0.7588,0.8147,0.8651,0.8572,PASS
AU-10066,NT-000231,MD-228,2026-03-29 11:42:14,v1,0.9499,0.9138,0.9785,0.9354,0.9132,0.9329,0.973,0.943,PASS
AU-10067,NT-000235,MD-214,2026-03-28 21:28:43,v1,1.0,0.9255,1.0,0.9368,1.0,1.0,0.9568,0.9723,PASS
AU-10068,NT-000245,MD-213,2026-03-30 09:02:02,v1,0.7613,0.8317,0.8303,0.9428,0.8434,0.8513,0.7681,0.8142,FAIL
AU-10069,NT-000248,MD-222,2026-03-29 07:11:24,v1,0.9067,0.9269,0.8292,1.0,0.8538,0.8291,0.9564,0.9106,PASS
AU-10070,NT-000249,MD-201,2026-03-30 23:52:35,v1,0.9889,0.9252,1.0,0.9455,0.9594,1.0,0.9955,0.9715,PASS
AU-10071,NT-000251,MD-203,2026-03-31 03:32:38,v1,0.9162,1.0,1.0,0.8821,0.9933,0.9689,1.0,0.9608,PASS
AU-10072,NT-000252,MD-232,2026-04-01 04:57:08,v1,0.8646,0.8697,0.9403,0.8929,0.8464,0.8502,0.8394,0.8697,PASS
AU-10073,NT-000258,MD-204,2026-03-31 15:41:44,v1,0.9796,0.9406,0.9339,1.0,0.9565,0.924,1.0,0.9672,PASS
AU-10074,NT-000262,MD-209,2026-04-01 18:51:09,v1,0.8812,0.7263,0.8382,0.8203,0.7658,0.8328,0.7121,0.8005,FAIL
AU-10075,NT-000265,MD-214,2026-04-01 19:35:25,v1,0.886,0.9342,0.9128,0.9565,0.8879,0.8438,0.9319,0.9103,PASS
AU-10076,NT-000267,MD-230,2026-03-31 09:16:54,v1,1.0,0.9805,1.0,0.9543,0.9842,1.0,1.0,0.9899,PASS
AU-10077,NT-000271,MD-216,2026-04-02 18:48:21,v1,0.9321,1.0,0.9257,0.951,0.9589,0.8546,0.9421,0.9472,PASS
AU-10078,NT-000272,MD-202,2026-04-01 11:27:20,v1,1.0,0.9549,1.0,0.943,0.92,1.0,0.9606,0.9714,PASS
AU-10079,NT-000274,MD-204,2026-04-02 01:28:27,v1,0.9551,0.9802,1.0,0.9559,1.0,0.9885,0.9992,0.9775,PASS
AU-10080,NT-000282,MD-217,2026-04-02 10:51:44,v1,0.8754,0.9371,0.8125,0.9437,0.699,0.9579,0.7668,0.8585,PASS
AU-10081,NT-000283,MD-222,2026-03-31 14:44:30,v1,0.6446,0.6391,0.4784,0.4802,0.5562,0.5731,0.5101,0.5779,FAIL
AU-10082,NT-000289,MD-207,2026-03-31 07:48:52,v1,0.9135,0.9174,0.8659,0.8885,0.8859,0.9383,0.9042,0.9041,PASS
AU-10083,NT-000292,MD-206,2026-03-31 22:59:12,v1,0.8879,0.9337,1.0,1.0,1.0,1.0,1.0,0.9531,PASS
AU-10084,NT-000293,MD-212,2026-04-03 10:50:43,v1,1.0,0.9824,0.9937,1.0,1.0,0.9488,0.9088,0.9796,PASS
AU-10085,NT-000295,MD-221,2026-03-31 14:02:06,v1,1.0,1.0,0.8933,1.0,0.9219,1.0,0.9587,0.9753,PASS
AU-10086,NT-000296,MD-230,2026-04-01 20:37:18,v1,0.9443,1.0,0.8815,0.9837,1.0,1.0,0.9419,0.9611,PASS
AU-10087,NT-000297,MD-212,2026-04-03 08:49:32,v1,0.8831,0.872,0.8807,0.8374,0.8838,0.9661,0.9133,0.8848,PASS
AU-10088,NT-000298,MD-227,2026-04-03 12:36:37,v1,0.9259,1.0,1.0,1.0,0.9819,1.0,1.0,0.976,PASS
AU-10089,NT-000300,MD-233,2026-04-01 07:27:35,v1,0.9584,0.8704,0.9891,0.9207,0.9403,0.9916,0.9796,0.9431,PASS
AU-10090,NT-000301,MD-226,2026-04-03 04:38:48,v1,0.8528,0.8775,0.9456,0.8397,0.8641,0.8805,0.842,0.8666,PASS
AU-10091,NT-000303,MD-234,2026-04-02 14:46:19,v1,0.943,1.0,1.0,0.943,1.0,0.9193,0.978,0.9699,PASS
AU-10092,NT-000316,MD-211,2026-04-01 03:42:22,v1,0.8914,1.0,0.9073,0.9949,1.0,1.0,0.9651,0.9524,PASS
AU-10093,NT-000322,MD-209,2026-03-31 21:50:53,v1,1.0,0.9402,1.0,0.9711,0.9327,0.918,1.0,0.9743,PASS
AU-10094,NT-000325,MD-224,2026-04-03 12:01:30,v1,0.9249,1.0,1.0,1.0,1.0,1.0,0.9756,0.9738,PASS
AU-10095,NT-000327,MD-228,2026-04-03 07:14:49,v1,1.0,0.8924,1.0,1.0,0.9655,0.911,0.9336,0.9606,PASS
AU-10096,NT-000328,MD-229,2026-04-01 16:33:18,v1,0.8648,0.8651,0.8051,0.95,0.8538,0.92,0.8828,0.8718,PASS
AU-10097,NT-000339,MD-214,2026-04-01 15:17:52,v1,0.8427,0.8374,0.9115,0.926,0.8946,0.929,0.8897,0.8734,PASS
AU-10098,NT-000342,MD-226,2026-04-01 05:54:36,v1,1.0,0.9364,1.0,1.0,1.0,0.9046,0.998,0.9822,PASS
AU-10099,NT-000345,MD-212,2026-04-02 08:22:55,v1,0.9692,0.9449,0.8642,0.9324,0.8706,0.7863,0.9603,0.9298,PASS
AU-10100,NT-000346,MD-219,2026-03-30 23:32:32,v1,1.0,1.0,0.9683,0.94,1.0,1.0,1.0,0.9908,PASS
AU-10101,NT-000350,MD-211,2026-03-31 14:42:57,v1,1.0,0.9809,0.9718,0.9754,1.0,0.9093,0.9908,0.985,PASS
AU-10102,NT-000358,MD-214,2026-04-04 12:11:38,v1,0.8567,0.8113,0.9403,0.9158,0.9407,1.0,0.8934,0.883,PASS
AU-10103,NT-000360,MD-205,2026-04-02 07:48:15,v1,0.9016,0.9468,1.0,0.9413,1.0,1.0,1.0,0.954,PASS
AU-10104,NT-000362,MD-222,2026-04-01 19:30:53,v1,0.8954,0.945,0.979,0.9191,0.9615,0.8936,0.8394,0.9142,PASS
AU-10105,NT-000363,MD-215,2026-04-03 12:47:47,v1,0.9852,0.8924,0.9581,1.0,0.8764,0.8958,0.8764,0.9337,PASS
AU-10106,NT-000364,MD-209,2026-04-01 03:54:59,v1,0.965,0.9183,1.0,0.9586,0.9491,0.9818,0.9209,0.9512,PASS
AU-10107,NT-000365,MD-220,2026-04-01 05:36:43,v1,0.7479,0.8193,0.7923,0.8814,0.8229,0.8024,0.8849,0.8107,FAIL
AU-10108,NT-000367,MD-207,2026-04-03 13:18:47,v1,0.8756,0.8536,0.8407,0.949,0.9755,0.988,0.9417,0.9006,PASS
AU-10109,NT-000372,MD-226,2026-04-02 16:54:32,v1,0.9198,1.0,0.8863,1.0,1.0,1.0,0.9502,0.9571,PASS
AU-10110,NT-000376,MD-209,2026-04-04 10:39:41,v1,0.7932,0.777,0.8468,0.8926,0.884,0.8368,0.9017,0.8328,FAIL
AU-10111,NT-000377,MD-230,2026-04-02 23:29:19,v1,0.9256,0.9096,0.8987,0.9339,0.9135,0.9051,0.9379,0.9202,PASS
AU-10112,NT-000384,MD-221,2026-04-03 08:05:05,v1,1.0,1.0,0.913,1.0,0.9948,1.0,1.0,0.9908,PASS
AU-10113,NT-000387,MD-217,2026-04-02 21:26:14,v1,0.9787,0.8816,0.9772,1.0,0.8749,0.8168,0.8545,0.9241,PASS
AU-10114,NT-000392,MD-223,2026-04-04 15:14:11,v1,0.997,0.9205,0.9049,0.8983,0.8954,0.8997,0.8911,0.9317,PASS
AU-10115,NT-000395,MD-219,2026-04-01 16:18:50,v1,0.9402,0.9117,0.8373,0.8976,0.8702,0.8124,0.7528,0.8784,PASS
AU-10116,NT-000402,MD-224,2026-04-02 06:51:19,v1,0.9892,1.0,1.0,0.9029,1.0,0.9148,1.0,0.9828,PASS
AU-10117,NT-000404,MD-228,2026-04-01 14:46:42,v1,0.9673,1.0,1.0,0.9985,0.9606,0.989,0.9637,0.9801,PASS
AU-10118,NT-000410,MD-212,2026-04-01 08:47:19,v1,1.0,0.7781,0.8003,0.7541,0.8412,0.8579,0.891,0.8717,PASS
AU-10119,NT-000412,MD-213,2026-04-03 23:07:20,v1,0.9479,0.9178,0.832,0.8865,0.8404,0.8561,0.9727,0.9125,PASS
AU-10120,NT-000416,MD-226,2026-04-03 00:55:54,v1,0.8832,1.0,0.8817,1.0,1.0,0.881,1.0,0.9472,PASS
AU-10121,NT-000420,MD-233,2026-04-03 20:04:11,v1,0.8835,0.9364,0.9423,0.9803,0.8838,0.8885,0.968,0.9226,PASS
AU-10122,NT-000423,MD-214,2026-04-02 07:07:15,v1,0.9657,0.9835,0.8686,0.7848,0.8652,1.0,0.9149,0.9255,PASS
AU-10123,NT-000424,MD-203,2026-04-02 12:33:41,v1,1.0,0.8997,0.9777,1.0,1.0,0.9538,1.0,0.9754,PASS
AU-10124,NT-000428,MD-217,2026-04-05 00:51:48,v1,0.841,0.9693,0.923,0.9305,0.9879,0.9143,0.9181,0.9137,PASS
AU-10125,NT-000433,MD-213,2026-04-04 23:02:47,v1,0.9597,0.943,0.889,0.9561,1.0,0.9072,1.0,0.9564,PASS
AU-10126,NT-000437,MD-209,2026-04-03 07:06:06,v1,1.0,0.9323,0.9841,0.9995,1.0,0.9795,1.0,0.9838,PASS
AU-10127,NT-000446,MD-211,2026-04-04 02:44:25,v1,0.9822,1.0,0.9757,0.9463,0.9034,1.0,1.0,0.9772,PASS
AU-10128,NT-000456,MD-231,2026-04-02 12:56:59,v1,0.9908,0.9381,0.9491,0.9437,0.9684,0.9594,0.9021,0.9543,PASS
AU-10129,NT-000462,MD-221,2026-04-03 06:47:17,v1,1.0,0.9037,1.0,0.9271,0.9971,0.9578,0.9263,0.96,PASS
AU-10130,NT-000465,MD-234,2026-04-04 22:06:01,v1,1.0,0.9551,1.0,0.8906,0.9861,0.8223,0.9963,0.9693,PASS
AU-10131,NT-000467,MD-225,2026-04-02 02:13:50,v1,0.5745,0.5188,0.5585,0.5631,0.5067,0.5576,0.54,0.5478,FAIL
AU-10132,NT-000468,MD-215,2026-04-03 01:47:08,v1,0.9094,0.9936,0.9313,0.8368,0.9509,0.8795,1.0,0.9374,PASS
AU-10133,NT-000469,MD-212,2026-04-05 03:16:02,v1,1.0,0.9303,0.9603,0.9251,0.918,0.9272,0.9222,0.9511,PASS
AU-10134,NT-000472,MD-230,2026-04-04 05:40:37,v1,0.9748,0.986,0.9715,0.9716,1.0,0.965,1.0,0.9822,PASS
AU-10135,NT-000474,MD-217,2026-04-02 00:09:12,v1,0.9526,1.0,0.9756,0.888,0.9294,0.9843,0.9687,0.9596,PASS
AU-10136,NT-000477,MD-202,2026-04-04 04:44:46,v1,0.7313,0.7347,0.8021,0.6949,0.8246,0.7765,0.7891,0.7557,FAIL
AU-10137,NT-000478,MD-226,2026-04-04 06:58:26,v1,0.9742,0.9983,0.9614,0.9801,1.0,0.9935,1.0,0.9858,PASS
AU-10138,NT-000483,MD-214,2026-04-05 21:02:26,v1,0.9404,1.0,0.9452,0.9724,0.9715,1.0,1.0,0.971,PASS
AU-10139,NT-000487,MD-202,2026-04-02 22:16:37,v1,0.6338,0.4625,0.4789,0.5247,0.5879,0.5769,0.4859,0.5435,FAIL
AU-10140,NT-000494,MD-232,2026-04-05 00:41:47,v1,0.9506,0.9363,0.8874,0.9763,0.9539,0.9828,0.9904,0.9519,PASS
AU-10141,NT-000495,MD-228,2026-04-06 17:43:15,v1,0.8908,0.9798,0.851,1.0,0.9983,0.9204,0.9535,0.9372,PASS
AU-10142,NT-000498,MD-202,2026-04-05 02:35:28,v1,0.8678,0.8951,0.9283,0.8356,0.9028,0.888,0.9359,0.8908,PASS
AU-10143,NT-000502,MD-208,2026-04-06 05:04:59,v1,1.0,1.0,0.993,0.9075,0.9745,1.0,0.969,0.9828,PASS
AU-10144,NT-000504,MD-234,2026-04-05 18:01:43,v1,0.7591,0.7695,0.8414,0.8465,0.7847,0.7836,0.7972,0.7876,FAIL
AU-10145,NT-000506,MD-225,2026-04-04 00:34:50,v1,0.9071,0.8868,1.0,0.803,0.9692,0.9618,0.9821,0.9221,PASS
AU-10146,NT-000509,MD-222,2026-04-06 09:40:01,v1,1.0,0.9707,1.0,1.0,0.9225,0.9819,0.9803,0.9825,PASS
AU-10147,NT-000514,MD-206,2026-04-06 05:36:04,v1,0.9575,0.9355,0.8401,0.9549,0.9943,0.935,0.954,0.9431,PASS
AU-10148,NT-000517,MD-214,2026-04-04 20:36:10,v1,0.8876,0.9983,0.8726,0.8866,0.8327,0.8932,0.9947,0.919,PASS
AU-10149,NT-000520,MD-225,2026-04-05 05:11:07,v1,1.0,1.0,0.8513,1.0,0.9986,1.0,0.7921,0.9538,PASS
AU-10150,NT-000526,MD-207,2026-04-05 11:35:36,v1,1.0,0.947,0.9964,0.9719,0.8181,0.9393,0.9872,0.9631,PASS
AU-10151,NT-000527,MD-229,2026-04-03 22:50:05,v1,0.941,0.87,0.9618,0.9302,0.9481,0.9376,0.9672,0.9323,PASS
AU-10152,NT-000531,MD-212,2026-04-05 12:00:25,v1,0.9151,0.9916,0.8355,0.9777,0.936,0.9948,0.9757,0.9438,PASS
AU-10153,NT-000532,MD-201,2026-04-05 05:51:29,v1,0.9506,0.9649,0.9514,0.7747,1.0,0.8796,1.0,0.9448,PASS
AU-10154,NT-000535,MD-204,2026-04-05 01:13:00,v1,0.911,0.907,0.8729,0.8854,0.8796,0.8926,0.8865,0.8961,PASS
AU-10155,NT-000540,MD-220,2026-04-04 02:53:32,v1,1.0,0.9488,1.0,0.9831,1.0,0.961,0.96,0.9801,PASS
AU-10156,NT-000546,MD-213,2026-04-06 02:13:37,v1,0.9646,0.9246,0.9547,0.8958,0.9892,0.9923,0.9716,0.9536,PASS
AU-10157,NT-000548,MD-229,2026-04-06 04:49:44,v1,0.9366,1.0,0.9924,0.9233,0.9789,0.9666,1.0,0.9688,PASS
AU-10158,NT-000549,MD-223,2026-04-03 23:38:36,v1,0.8292,0.8161,0.8795,0.8495,0.8693,0.8183,0.8979,0.8474,FAIL
AU-10159,NT-000550,MD-231,2026-04-05 10:01:18,v1,0.988,0.9634,0.934,1.0,1.0,1.0,0.9914,0.9812,PASS
AU-10160,NT-000559,MD-210,2026-04-06 00:19:54,v1,0.9147,1.0,1.0,0.9133,0.9851,1.0,0.9494,0.9567,PASS
AU-10161,NT-000565,MD-233,2026-04-04 15:43:46,v1,0.9434,0.8754,0.8394,0.9799,1.0,0.9164,0.9649,0.9306,PASS
AU-10162,NT-000571,MD-233,2026-04-04 15:45:18,v1,1.0,1.0,0.9089,1.0,0.9447,0.9241,1.0,0.9816,PASS
AU-10163,NT-000573,MD-213,2026-04-04 13:49:13,v1,1.0,0.9661,0.9483,1.0,0.9902,0.9653,0.9271,0.9744,PASS
AU-10164,NT-000583,MD-210,2026-04-06 06:45:38,v1,0.9514,0.9511,1.0,0.9389,1.0,1.0,0.9838,0.9671,PASS
AU-10165,NT-000589,MD-230,2026-04-03 23:05:19,v1,1.0,1.0,1.0,1.0,0.9636,1.0,0.9257,0.9852,PASS
AU-10166,NT-000592,MD-212,2026-04-05 12:30:49,v1,0.8752,0.9361,1.0,0.8814,0.8407,0.8981,0.8801,0.8989,PASS
AU-10167,NT-000593,MD-211,2026-04-07 04:52:14,v1,1.0,1.0,1.0,0.988,1.0,1.0,1.0,0.9988,PASS
AU-10168,NT-000595,MD-234,2026-04-07 10:38:45,v1,1.0,0.8495,0.9027,1.0,0.9675,0.8763,0.9706,0.9463,PASS
AU-10169,NT-000596,MD-209,2026-04-07 06:05:52,v1,0.8307,1.0,0.8885,0.8974,0.8487,0.8588,0.8829,0.888,PASS
AU-10170,NT-000602,MD-225,2026-04-04 14:04:47,v1,0.9089,0.8699,0.8835,0.8503,0.8563,0.8712,0.821,0.8724,PASS
AU-10171,NT-000603,MD-210,2026-04-05 22:02:27,v1,0.8512,0.9681,0.9465,1.0,0.9354,0.9744,0.9265,0.9249,PASS
AU-10172,NT-000605,MD-227,2026-04-05 16:47:14,v1,0.9022,0.9553,0.8894,0.8448,0.8684,0.8214,0.8786,0.8948,PASS
AU-10173,NT-000609,MD-214,2026-04-05 18:03:11,v1,0.8728,1.0,0.9442,0.9293,0.8208,0.8562,0.9334,0.9141,PASS
AU-10174,NT-000610,MD-222,2026-04-06 05:13:03,v1,0.94,1.0,0.96,0.9433,0.9749,0.9333,0.924,0.9551,PASS
AU-10175,NT-000619,MD-215,2026-04-06 22:13:45,v1,0.9013,1.0,0.9517,0.9969,1.0,0.8278,0.9167,0.9442,PASS
AU-10176,NT-000621,MD-209,2026-04-07 00:58:23,v1,0.9452,0.8993,0.928,0.8868,0.8416,0.8783,0.81,0.8945,PASS
AU-10177,NT-000627,MD-208,2026-04-05 16:54:08,v1,0.9362,0.9823,0.9774,0.9054,0.885,0.9668,0.9713,0.9481,PASS
AU-10178,NT-000633,MD-233,2026-04-08 04:12:24,v1,0.9064,0.9028,0.9272,0.8308,0.939,0.8805,0.9221,0.9045,PASS
AU-10179,NT-000638,MD-219,2026-04-07 06:37:41,v1,0.9813,0.9997,0.9827,0.9928,0.962,0.9104,0.9764,0.9801,PASS
AU-10180,NT-000639,MD-231,2026-04-08 16:16:12,v1,0.9476,0.906,0.9295,0.9537,1.0,0.9922,0.9595,0.9473,PASS
AU-10181,NT-000640,MD-226,2026-04-05 20:42:01,v1,1.0,1.0,1.0,1.0,1.0,1.0,0.909,0.9864,PASS
AU-10182,NT-000641,MD-224,2026-04-06 23:44:35,v1,0.9421,0.8567,0.8485,0.9231,0.8801,0.9083,0.957,0.9081,PASS
AU-10183,NT-000647,MD-212,2026-04-06 15:54:45,v1,1.0,0.9801,0.8984,1.0,0.8904,0.8314,0.8803,0.9485,PASS
AU-10184,NT-000648,MD-208,2026-04-07 12:35:32,v1,0.8617,1.0,0.9076,0.9718,0.8929,0.9078,0.9835,0.9287,PASS
